"","Species","Site","Nstar","Nstar_prime","LNstar","LNstar_prime","DeltaN","DeltaLN"
"V1",1,1,7.57613013075872,8.69565649873749,2.02500253244676,2.16282364797357,1.11952636797876,0.137821115526818
"V2",2,1,2.81344745308748e-17,3.28892747818948e-17,-38.1095359978881,-37.9533850637405,4.75480025102003e-18,0.156150934147536
"V3",3,1,0.823311360218937,0.935624129321011,-0.194420826377549,-0.0665414543941031,0.112312769102074,0.127879371983446
"V4",4,1,4.66752601337445e-06,5.16545860226776e-06,-12.2748813882468,-12.173516668963,4.97932588893312e-07,0.101364719283766
"V5",5,1,1.11648776891686,1.16170986592789,0.110187837394235,0.149892942165337,0.045222097011036,0.0397051047711018
"V6",6,1,1.69481667345431,1.77671323778646,0.527574577728899,0.57476516180388,0.0818965643321528,0.0471905840749808
"V7",7,1,1.17714868329393,1.20966289879166,0.163095144254005,0.190341724753616,0.03251421549773,0.0272465804996111
"V8",8,1,2.91066937664464,3.07564652885965,1.06838308106976,1.12351513244605,0.164977152215005,0.0551320513762822
"V9",9,1,0.956922672774052,0.958497418153923,-0.0440326924928217,-0.0423884101318621,0.00157474537987168,0.00164428236095961
"V10",10,1,1.00104299029644,1.01955617187164,0.00104244675996739,0.0193674069855168,0.0185131815751935,0.0183249602255494
"V11",11,1,0.999970725354786,1.95041588580293,-2.92750737245286e-05,0.668042624606556,0.950445160448139,0.66807189968028
"V12",12,1,0.996809572281723,1.04918720176904,-0.003195527983698,0.0480157708510119,0.0523776294873145,0.0512112988347099
"V13",1,2,9.01623337308818,9.29316911507162,2.19902666072903,2.22927962652343,0.276935741983438,0.0302529657943942
"V21",2,2,2.02363725477792e-07,2.77004376950011e-07,-15.4131991375429,-15.0992325296203,7.46406514722198e-08,0.31396660792261
"V31",3,2,0.762181308108621,0.773819057703136,-0.271570814447624,-0.256417208299523,0.0116377495945151,0.0151536061481007
"V41",4,2,3.65643456979015e-06,5.58222836083575e-06,-12.519022046614,-12.0959225134691,1.92579379104559e-06,0.423099533144835
"V51",5,2,1.90506601891115,3.23859879782567,0.644516663574576,1.17514076645531,1.33353277891453,0.530624102880734
"V61",6,2,1.26567335641468,1.44776527925704,0.235604278120401,0.370021180863297,0.182091922842361,0.134416902742897
"V71",7,2,2.24768012204694,3.21473946986326,0.809898627443521,1.16774631859364,0.967059347816326,0.357847691150123
"V81",8,2,2.0194528702879,2.41228085672117,0.702826618431805,0.88057271351285,0.392827986433269,0.177746095081045
"V91",9,2,0.952109332716763,0.98263117876298,-0.0490754054942698,-0.0175214288707062,0.0305218460462165,0.0315539766235636
"V101",10,2,0.999371706851776,1.39234436373881,-0.00062849060707596,0.330988919060321,0.39297265688703,0.331617409667397
"V111",11,2,0.999274086501469,4.11062822454291,-0.0007261771013114,1.4135758695142,3.11135413804145,1.41430204661551
"V121",12,2,0.999328225212355,1.41946896546733,-0.000672000529431432,0.350282833688952,0.420140740254974,0.350954834218383
"V14",1,3,9.14370195968118,10.4526734242954,2.2130653318757,2.346857775768,1.30897146461423,0.133792443892302
"V22",2,3,7.6820660337744e-19,1.09701652764852e-18,-41.7102282410909,-41.3539374264885,3.28809924271082e-19,0.356290814602412
"V32",3,3,0.721883165842551,0.819829672454618,-0.325891973346277,-0.19865867681866,0.0979465066120673,0.127233296527617
"V42",4,3,0.000239108773891171,0.00027054297922927,-8.3385919886853,-8.21507958420569,3.14342053380988e-05,0.123512404479604
"V52",5,3,0.980674247938457,1.00340881829206,-0.0195149357861253,0.00340302144086311,0.0227345703536078,0.0229179572269885
"V62",6,3,1.59542238633305,1.7203616435429,0.467138520196028,0.542534526598053,0.124939257209852,0.0753960064020258
"V72",7,3,1.6775926912883,1.80491461534067,0.517359843948673,0.590513286145548,0.127321924052369,0.0731534421968748
"V82",8,3,3.84637906947137,4.49209239956327,1.34713220431471,1.50231860646947,0.645713330091902,0.155186402154757
"V92",9,3,0.959076275138848,0.960270420930507,-0.04178467114177,-0.040540345717725,0.00119414579165877,0.00124432542404511
"V102",10,3,1.00103513044463,1.15895363499637,0.00103459506653256,0.147517559240223,0.157918504551743,0.146482964173691
"V112",11,3,1.0001548724702,1.6876840979943,0.000154860478699811,0.523357232921844,0.687529225524099,0.523202372443144
"V122",12,3,0.99913636125312,1.24061363157609,-0.000864011897683023,0.215606121386315,0.241477270322968,0.216470133283998
"V15",1,4,8.2778718517798,10.156699390758,2.11358591262926,2.31813352625651,1.87882753897819,0.204547613627255
"V23",2,4,4.92625630597312e-06,6.7515847725348e-06,-12.2209312283623,-11.9057332995203,1.82532846656167e-06,0.315197928841932
"V33",3,4,0.729212089216543,0.840890114301237,-0.315790657575967,-0.173294288305578,0.111678025084694,0.142496369270389
"V43",4,4,4.95360831609095e-05,7.04473922561515e-05,-9.91280920120099,-9.56064433583127,2.0911309095242e-05,0.352164865369721
"V53",5,4,1.09152626289063,1.29586604037745,0.0875769580016047,0.259179228681378,0.204339777486825,0.171602270679773
"V63",6,4,1.97915922907149,2.45039185871795,0.682672122742763,0.89624795410108,0.471232629646457,0.213575831358318
"V73",7,4,1.4614137506471,1.76792919013231,0.379404289559604,0.569808912583253,0.306515439485207,0.190404623023649
"V83",8,4,2.83199532481051,3.46739237148401,1.04098152498636,1.24340283349917,0.635397046673501,0.202421308512806
"V93",9,4,0.980255294089868,0.981865770393871,-0.0199422370695054,-0.018300669997212,0.00161047630400335,0.00164156707229336
"V103",10,4,1.00089844402712,1.12215227827193,0.000898040667865931,0.115248518276287,0.121253834244804,0.114350477608421
"V113",11,4,1.00015835758751,77.5299854334546,0.000158345050267619,4.35066477034815,76.5298270758671,4.35050642529789
"V123",12,4,0.987790003372179,1.22591960113959,-0.0122851510197762,0.203691257174105,0.238129597767407,0.215976408193881
"V16",1,5,7.5959612778118,8.86432238372373,2.02761669522928,2.18203449934849,1.26836110591193,0.15441780411921
"V24",2,5,6.30992120989402e-53,7.88628516703328e-53,-120.194886738755,-119.971884732707,1.57636395713926e-53,0.223002006048502
"V34",3,5,0.851520096614527,1.17096152611652,-0.160732177731566,0.157825228496426,0.319441429501998,0.318557406227991
"V44",4,5,5.17992550890002e-05,5.47296397441793e-05,-9.86813478932347,-9.81310513524964,2.93038465517911e-06,0.0550296540738308
"V54",5,5,1.30790788316493,1.3563099124523,0.268428824840116,0.304767712410977,0.0484020292873653,0.0363388875708613
"V64",6,5,1.61793957431881,1.67578943885687,0.481153472029662,0.516284361027092,0.0578498645380507,0.0351308889974297
"V74",7,5,1.37982974399194,1.4259854265936,0.32196011763904,0.354863102159801,0.0461556826016658,0.0329029845207605
"V84",8,5,5.97673620659092,6.31953017127162,1.78787463411676,1.84364486540674,0.342793964680706,0.0557702312899887
"V94",9,5,0.976786004973287,0.97765444313751,-0.0234876837112052,-0.0225990015083611,0.000868438164222884,0.00088868220284418
"V104",10,5,1.00103902065506,1.00398697493971,0.00103848124670081,0.0039790480177618,0.00294795428464978,0.00294056677106106
"V114",11,5,1.00003469889171,2508738162488.53,3.46982897170884e-05,28.550801018556,2508738162487.53,28.5507663202662
"V124",12,5,0.997767902976358,1.05960358130617,-0.00223459186538109,0.0578948582762159,0.061835678329815,0.0601294501415969
"V17",1,6,9.76789166946864,10.6650088567119,2.27910064639767,2.36696818236946,0.897117187243216,0.0878675359717958
"V25",2,6,1.12974142848848e-140,1.41444650313205e-140,-322.239924236973,-322.01517472846,2.84705074643572e-141,0.224749508512905
"V35",3,6,0.66288542554636,0.65425079350449,-0.411153115877285,-0.424264524726626,-0.00863463204186976,-0.0131114088493413
"V45",4,6,1.334336053567e-06,2.11570141848704e-06,-13.5270767279778,-13.0661241604998,7.81365364920042e-07,0.460952567477948
"V55",5,6,2.20809012064239,3.2371831338513,0.792127943090246,1.17470354852183,1.02909301320892,0.382575605431582
