"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",-0.987778313443666,0,-0.0122216865563337,0,0,0,0,0,0,0,0,0
"2",0,0.0386349528583103,0,0,0,0,0,-0.0386349528583102,0,0,0,0
"3",0.0540591978502063,0,0.975212470009862,0,-0.0447257753137702,-0.0214974404446503,0,0,0,0,0,0
"4",0,0,0,0.0674653815652996,-0.0478733877802791,-0.0121220551447847,-0.00746993864023589,0,0,0,0,0
"5",0,0,0.00203514455072513,0.0468195443317705,0.908928432669815,0,0,0,-0.00412729384320885,-5.73056415961048e-05,-6.52171936522494e-05,0
"6",0,0,0.00173304367983392,0.0210036439254312,0,0.94534606959954,0,0,0,0,0,-1.0722022537539e-05
"7",0,0,0,0.0144641129051694,0,0,0.956633603986273,0,0,0,0,-0.000132919472877438
"8",0,0.0379460966339196,0,0,0,0,0,0.921855627218559,0,0,0,-3.79248407716667e-05
"9",0,0,0,0,0.000587025399640296,0,0,0,0.954271370028288,-0.000568226574451239,0,0
"10",0,0,0,0,0.000461875118690015,0,0,0,0.0032200100374817,0.997318114843828,0,0
"11",0,0,0,0,0.00125840315704523,0,0,0,0,0,0.998841596842955,0
"12",0,0,0,0,0,0.000115028747366786,0.00127603300588308,0.000746451412624421,0,0,0,0.998862486834126
