"","Species","Site","Nstar","Nstar_prime","LNstar","LNstar_prime","DeltaN","DeltaLN"
"V1",1,1,7.65620990547101,8.43709785640648,2.03551707089485,2.13263839359987,0.780887950935471,0.0971213227050207
"V2",2,1,2.14006827622612e-17,2.2883388735998e-17,-38.3831088475954,-38.3161204092575,1.48270597373679e-18,0.0669884383379333
"V3",3,1,0.842051074460234,0.812561327124818,-0.171914608075622,-0.207563888088444,-0.0294897473354163,-0.0356492800128222
"V4",4,1,5.04745671478476e-06,8.4211954982861e-06,-12.1966260623713,-11.6847587566193,3.37373878350134e-06,0.511867305751949
"V5",5,1,1.09833362559413,1.31560178985079,0.0937941453811306,0.274294195814346,0.217268164256658,0.180500050433215
"V6",6,1,1.65135455891071,2.06333846837091,0.501595895915995,0.724325286734948,0.411983909460197,0.222729390818953
"V7",7,1,1.18604922609978,1.36259861685925,0.170627805700507,0.309393624282245,0.176549390759476,0.138765818581739
"V8",8,1,2.93128958219936,2.99849822446511,1.07544245664345,1.09811157148522,0.067208642265749,0.0226691148417674
"V9",9,1,0.979208310407407,0.986555252929735,-0.0210108803244201,-0.013535946035979,0.00734694252232804,0.00747493428844111
"V10",10,1,1.00101612253095,1.08797826705689,0.00101560662789924,0.08432117310271,0.0869621445259423,0.0833055664748107
"V11",11,1,0.999967810161654,2.26516307317853,-3.21903564501509e-05,0.817646753331651,1.26519526301687,0.817678943688101
"V12",12,1,0.996825887977389,1.14595353986828,-0.00317916020133023,0.136237076343577,0.149127651890889,0.139416236544907
"V13",1,2,8.908974068023,9.88700543330544,2.18705909097246,2.2912213124552,0.978031365282442,0.104162221482738
"V21",2,2,2.55508441873334e-07,3.75506114015236e-07,-15.1800103872483,-14.7949910835439,1.19997672141901e-07,0.385019303704423
"V31",3,2,0.783870804964329,0.839953311745703,-0.24351106179734,-0.174408969944588,0.0560825067813739,0.0691020918527514
"V41",4,2,3.93981506794617e-06,4.64764658660211e-06,-12.4443767728255,-12.2791495768903,7.07831518655944e-07,0.165227195935251
"V51",5,2,1.9322425003367,2.37535621299086,0.658681245686247,0.865147410657273,0.443113712654168,0.206466164971026
"V61",6,2,1.26425433031913,1.33239014562205,0.234482486180027,0.286974431349406,0.0681358153029199,0.0524919451693793
"V71",7,2,2.31411861310232,2.66095397275425,0.839028886361129,0.978684694872732,0.346835359651924,0.139655808511603
"V81",8,2,2.01716612760954,2.50875271620981,0.701693619293578,0.919785703822317,0.491586588600267,0.218092084528739
"V91",9,2,0.974554951354094,0.986593971459407,-0.0257743723435841,-0.0134967006213916,0.0120390201053133,0.0122776717221925
"V101",10,2,0.99926422773526,1.13689003505185,-0.000736043077999272,0.128296495097226,0.137625807316589,0.129032538175225
"V111",11,2,0.99929319073323,2.89283015992626,-0.000707059174204465,1.06223531702083,1.89353696919303,1.06294237619504
"V121",12,2,0.999298313342949,1.21654538978773,-0.000701932954355718,0.196015194331425,0.217247076444784,0.196717127285781
"V14",1,3,9.32603952482694,11.0783916987866,2.23281043651,2.40499651724422,1.75235217395962,0.172186080734228
"V22",2,3,5.46867519476449e-19,5.82552913106289e-19,-42.0500803745283,-41.9868669336099,3.568539362984e-20,0.0632134409183587
"V32",3,3,0.714076609785539,0.801131115733943,-0.336765025780021,-0.221730655254673,0.0870545059484037,0.115034370525348
"V42",4,3,0.000199469693777064,0.00033427880603767,-8.51984824406589,-8.00353516458066,0.000134809112260606,0.516313079485238
"V52",5,3,1.00150211853655,1.03552000627827,0.0015009914850035,0.0349037220707975,0.0340178877417217,0.033402730585794
"V62",6,3,1.61701352499341,2.18390928568938,0.480580944810705,0.78111652116351,0.566895760695974,0.300535576352805
"V72",7,3,1.67397516320558,2.27322251294633,0.515201135162465,0.821198434028218,0.599247349740746,0.305997298865753
