"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.0215908317184227,0,0,0,0,0,0,0,0,0,0,0
"2",0,0.0208674312042186,0,0,0,0,0,0,0,0,0,0
"3",0,0,0.0203217374747122,0,0,0,0,0,0,0,0,0
"4",0,0,0,0.0204683117115385,0,0,0,0,0,0,0,0
"5",0,0,0,0,0.0195799517135173,0,0,0,0,0,0,0
"6",0,0,0,0,0,0.0222708768743468,0,0,0,0,0,0
"7",0,0,0,0,0,0,0.0203643662110595,0,0,0,0,0
"8",0,0,0,0,0,0,0,0.019318412932669,0,0,0,0
"9",0,0,0,0,0,0,0,0,0.0202392651501599,0,0,0
"10",0,0,0,0,0,0,0,0,0,0.0224775924692558,0,0
"11",0,0,0,0,0,0,0,0,0,0,0.019601443584283,0
"12",0,0,0,0,0,0,0,0,0,0,0,0.0196442195078847
