"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.00758634500621148,0,0.0125784100585263,0,0,0,0,0,0,0,0,0
"2",0,0.0417638532166219,0,0,0,0,0,0.0110610535018119,0,0,0,0
"3",0.00793831605351459,0,0.0135398155958447,0,0.014974135860895,0.0147531706472891,0,0,0,0,0,0
"4",0,0,0,0.0307140916033628,0.0150038394876571,0.0159915775830866,0.0108951551802777,0,0,0,0,0
"5",0,0,0.0134128101695702,0.0282687074594656,0.0154221748284386,0,0,0,0.0133303406851045,0.00612539382115146,0.00433426981045461,0
"6",0,0,0.013941087677623,0.030664141258397,0,0.0154853159482606,0,0,0,0,0,0.00554668116033688
"7",0,0,0,NA,0,0,0.0102869875509263,0,0,0,0,NA
"8",0,0.0333100780798564,0,0,0,0,0,0.0113994039830204,0,0,0,0.00573718864595248
"9",0,0,0,0,0.0143628887485985,0,0,0,0.0122932855818183,0.00615562462522747,0,0
"10",0,0,0,0,0.0120794918165606,0,0,0,0.0116485542450469,0.00614195595318373,0,0
"11",0,0,0,0,0.0132132120524643,0,0,0,0,0,0.00485425344330336,0
"12",0,0,0,0,0,0.0151196037355603,0.0123514473370123,0.0042916625658176,0,0,0,0.00471670419535613
