"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",-0.989868541559896,0,NA,0,0,0,0,0,0,0,0,0
"2",0,NA,0,0,0,0,0,-0.0828291912610075,0,0,0,0
"3",0.0366764915265852,0,0.887319898407572,0,NA,NA,0,0,0,0,0,0
"4",0,0,0,NA,NA,-0.046187752486882,NA,0,0,0,0,0
"5",0,0,NA,-0.00762763975351713,0.924761220016821,0,0,0,NA,NA,NA,0
"6",0,0,-0.00998429237803114,0.0157805701676505,0,0.916573781396794,0,0,0,0,0,-0.00887535487485385
"7",0,0,0,-0.0457794113889096,0,0,0.963585829978739,0,0,0,0,-0.00980275164120709
"8",0,-0.016115828559139,0,0,0,0,0,0.87109729370856,0,0,0,NA
"9",0,0,0,0,NA,0,0,0,NA,NA,0,0
"10",0,0,0,0,-0.0262801609932323,0,0,0,-0.0246271753966848,0.971563378874245,0,0
"11",0,0,0,0,-0.0111001229267492,0,0,0,0,0,0.994772921496871,0
"12",0,0,0,0,0,NA,NA,-0.0171954203874269,0,0,0,0.97840627272842
