"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",-0.902160926935264,0,-0.070382473104611,0,0,0,0,0,0,0,0,0
"2",0,0.0944071306619382,0,0,0,0,0,0.0071020549272623,0,0,0,0
"3",0.152759501631251,0,0.865841478413541,0,-0.00859052534095318,NA,0,0,0,0,0,0
"4",0,0,0,0.136145848368669,0.0341910440853526,0.00559947673917418,-0.0708153795699705,0,0,0,0,0
"5",0,0,NA,0.0869796886586568,0.981267994372918,0,0,0,NA,-0.00635706361322156,0.00270862732503188,0
"6",0,0,0.0352529735539435,0.0566018925787093,0,0.971305206819923,0,0,0,0,0,0.0355186549360254
"7",0,0,0,0.125658223791248,0,0,0.939239250312525,0,0,0,0,0.00292607019934092
"8",0,0.0389799682464893,0,0,0,0,0,0.993447906762088,0,0,0,0.0191970390999918
"9",0,0,0,0,0.0114027387137273,0,0,0,0.972106096531546,0.0157128707142355,0,0
"10",0,0,0,0,0.0265033029037972,0,0,0,0.0074073765751412,0.999525305732184,0,0
"11",0,0,0,0,0.0242984496199739,0,0,0,0,0,0.998284254000551,0
"12",0,0,0,0,0,0.032819131837805,0.0318037944877832,0.0224174593863726,0,0,0,0.997930047734075
