"","meanB","meanJ","corr_BvsJ","medianBias","fractionJ_outofB_CIs","fractionCorrectSign"
"b_1,1",-0.957629156615538,-0.969548885225364,0.656703592828678,0.00329417312097297,0.04,1
"b_1,2",0,0,NA,0,1,1
"b_1,3",-0.0325898429068567,-0.0304511147746355,0.534782279114235,-0.002228987012432,0.02,0.73
"b_2,1",0,0,NA,0,1,1
"b_2,2",0.0193215524782557,0.0266007960947789,0.103391616945104,-0.008426179752102,0.0600000000000001,0.55
"b_2,8",-0.0256646295624471,-0.0266007960947789,0.347032102373396,0.00403713573097742,0.1,0.68
"b_3,1",0.0764333874425916,0.0762855306692046,0.835076644690877,-0.000851430129529304,0.07,1
"b_3,3",0.860952356465378,0.93130963763099,0.579149459217456,-0.053769058082447,0.25,1
"b_3,5",-0.0143229858989301,-0.0165137421654195,0.263256053407704,0.0032480743761643,0.15,0.59
"b_3,6",-0.0254731294695916,-0.0218510206561297,0.367615440807211,-0.00369441304280157,0.15,0.66
"b_4,4",0.0303011367021657,0.0709364167514208,0.258797597359932,-0.0473362643746691,0.12,0.62
"b_4,5",-0.0258833995552671,-0.0207478562042596,0.448639816754922,-0.00637256283517887,0.11,0.68
"b_4,6",-0.0391610303865555,-0.0285364451814509,0.108161563370629,-0.0128779009033071,0.05,0.77
"b_4,7",-0.0221225762567059,-0.0216521153657103,0.360720710322593,0.00407751455291536,0.12,0.65
"b_5,3",0.00716531168140293,0.00205550119634129,0.0242758115487228,0.0120280391799558,0.17,0.6
"b_5,4",0.035734819109451,0.030058035879926,0.298690523902039,0.00969104364702435,0.08,0.64
"b_5,5",0.836210021731183,0.947460058304213,0.154377278311439,-0.109323843340264,0.49,1
"b_5,9",-0.0120129234191011,-0.00985624567489285,0.0130752024533902,0.00278780137557409,0.14,0.56
"b_5,10",0.00467765659003453,-0.00026570356014248,-0.0728754766693732,0.0028903250742505,0.23,0.47
"b_5,11",-0.00643590078032595,-0.000308016826410109,-0.0420577033108413,-0.00973859729628211,0.16,0.54
"b_6,3",-0.00279237560409684,0.00206269373301166,0.0839417350541725,0.00420994986281297,0.11,0.54
"b_6,4",0.0404477469588698,0.0346742761375275,0.121379819922162,0.0152553133965322,0.0600000000000001,0.72
"b_6,6",0.867010632904098,0.934050634620734,0.366183525470797,-0.0577808957390355,0.27,1
"b_6,12",-0.00147139841895439,-0.000646137870802348,0.0760744813482515,-0.00633434789967732,0.13,0.56
"b_7,4",0.0396533528669107,0.0286867150372148,0.179833981560325,-0.00277940341296935,0.07,0.65
"b_7,7",0.88619575728278,0.941939063520405,0.213681432718498,-0.048657830397672,0.18,1
"b_7,12",-0.00217961673388054,-0.000660178391057095,0.160901370941523,-0.00449123735256993,0.14,0.51
"b_8,2",0.0356586065345986,0.0337092547801234,0.285960242118528,-0.000400478176797605,0.08,0.65
"b_8,8",0.871859459290208,0.934429476485502,0.205517429601664,-0.0553143473254685,0.27,1
"b_8,12",-0.0106695226810787,-0.000693674447572256,-0.0360314398996051,-0.0138378666079,0.26,0.56
"b_9,5",0.00121164259834726,0.0015333743447818,0.0769021632138946,-0.00204618202123547,0.14,0.49
"b_9,9",0.884209727997285,0.970354379645721,0.363243955897507,-0.076015416083471,0.41,1
"b_9,10",-0.0136975333359624,-0.000253153989674476,0.0242917834072923,-0.00445179643204855,0.14,0.56
"n_10,5",-0.0034485251904106,0.00178276087067259,-0.00320876367813742,-0.0114469327622755,0.2,0.44
"b_10,9",0.00681264183809244,0.00111229630317509,0.0619609956858758,0.00159782164603286,0.21,0.53
"b_10,10",0.924723356528787,0.998104942826152,-0.0122016315559245,-0.064934129640159,0.45,1
"b_11,5",-0.00309898686703034,0.00204975717725463,0.184764839653958,-0.00677125195641711,0.1,0.46
"b_11,11",0.931810351592184,0.998050242822745,-0.0241775256440918,-0.0538966222164199,0.4,1
"b_12,6",0.00464518693374577,0.00207135088612387,-0.0460168009707813,0.0080664254094877,0.13,0.59
"b_12,7",0.0023775838506191,0.00202083435205716,0.0621740445892334,-0.00543057332012086,0.13,0.48
"b_12,8",-0.0104573419024323,0.00231150087136736,-0.0288522209156243,-0.00446829126592247,0.22,0.47
"b_12,12",0.916218937768816,0.994596313890452,-0.023353045695361,-0.070593753186503,0.45,1
