"","meanB","meanJ","corr_BvsJ","medianBias","fractionJ_outofB_CIs","fractionCorrectSign"
"b_1,1",-0.951693900022534,-0.960723222641581,0.748743707965274,0.00433030272619894,0.04,1
"b_1,2",-0.00721044429496951,0,NA,-0.0231552638138743,0.12,0
"b_1,3",-0.0571089822247933,-0.0392767773584191,0.329276076121372,-0.0234974785464441,0.16,0.76
"b_2,1",-0.00497891404561603,0,NA,-0.00262549547803633,0,0
"b_2,2",-0.0236733989614939,0.0293742779693999,-0.0970893086464459,-0.0375609341887811,0.2,0.52
"b_2,8",-0.0232611243782269,-0.0293742779693999,0.559629863039993,0.00679518465997755,0.08,0.52
"b_3,1",0.0894703461712011,0.0863840591214431,0.841038179759234,0.00262720205878411,0.04,1
"b_3,3",0.735899354724681,0.919893339075035,0.546665974837771,-0.156974258074194,0.68,1
"b_3,5",-0.010516842118696,-0.0165771101809169,0.223023661294434,0.00500686432884177,0.2,0.56
"b_3,6",-0.00997461000678834,-0.023259592756214,0.567614732517627,0.0128320028867257,0.08,0.6
"b_4,4",-0.006248876706909,0.0749051780852168,0.172342587285626,-0.0865922590634808,0.24,0.48
"b_4,5",-0.0531356894413616,-0.0208767856639055,0.742368569615301,-0.020688305843725,0.08,0.84
"b_4,6",-0.0586182280962988,-0.0287783233652492,-0.0571200485204213,-0.0304143166541094,0.2,0.76
"b_4,7",-0.0279711511121595,-0.0252500690560621,0.146648367144087,0.0061679100812835,0.08,0.64
"b_5,3",0.0151858394156526,0.00255755862271886,-0.0767024895147296,0.0189377142389621,0.04,0.64
"b_5,4",0.0211408797367732,0.0304845112535364,0.148945120569583,-0.0176465880543879,0.08,0.6
"b_5,5",0.792628599328075,0.948789787899943,0.425725529984431,-0.166573866968557,0.72,1
"b_5,9",-0.0271801198992713,-0.0121394081224867,0.164495720843901,-0.00466749676032231,0.2,0.6
"b_5,10",0.0198917646293431,-0.000233740164270086,-0.0519688407752497,0.00507933953607281,0.16,0.48
"b_5,11",-0.0212540918384269,-0.000273401540405365,-0.146878406895571,-0.0165226101732661,0.2,0.68
"b_6,3",0.00723301524860187,0.00239131656129063,0.0564719416898537,-0.00270608201419122,0.12,0.52
"b_6,4",0.0348722589199045,0.034401842604285,-0.0478905120891678,0.0183738674683939,0.08,0.72
"b_6,6",0.781767822289131,0.931014394160673,0.345710661668747,-0.127347306538547,0.56,1
"b_6,12",-0.0184298775095852,-0.000685157744869251,0.117519921061884,-0.0277509722690146,0.2,0.64
"b_7,4",0.0475326869358812,0.0334830716583943,0.0639035243560154,-0.0182312460836599,0.16,0.6
"b_7,7",0.806107638407512,0.940312105702091,0.221425818421066,-0.14645700671259,0.72,1
"b_7,12",-0.00203060004872905,-0.000735183838615581,0.250426557486141,-0.0216709649319207,0.16,0.6
"b_8,2",0.0343777217912611,0.0338197122789093,0.439075679866066,0.0042878111882017,0.08,0.56
"b_8,8",0.771578818024024,0.932232557262541,0.273431220122972,-0.177017248032955,0.6,1
"b_8,12",-0.0185298783959378,-0.000688762491174563,-0.0989337167210647,-0.0255430861701592,0.2,0.64
"b_9,5",-0.00404909820649384,0.00180772892041441,0.0798886756678146,0.0098712536392176,0.08,0.56
"b_9,9",0.792873459175673,0.967537018160623,0.396584686495684,-0.149726915255978,0.76,1
"b_9,10",-0.0190024760010782,-0.000231375962879176,-0.127828046851105,-0.00867830409769819,0.16,0.56
"n_10,5",0.0103654638119476,0.00155077272954804,0.0728871994340674,0.0108135364918439,0.12,0.52
"b_10,9",0.023059401968948,0.0012503428122028,0.00992476966491236,0.0202809247844964,0.08,0.6
"b_10,10",0.829066655809915,0.998198884458249,0.00237275437570689,-0.174575860928009,0.72,1
"b_11,5",0.00667558834783187,0.00195054645744572,0.111201107251412,0.00471536671259392,0.24,0.52
"b_11,11",0.872272023444482,0.998149453542554,0.100365903096667,-0.1056659193303,0.48,1
"b_12,6",0.0173593811185994,0.0021923365892979,-0.304554959020586,0.0258734868987759,0.08,0.64
"b_12,7",0.00330194058831295,0.0021116858625685,-0.204334762050028,0.0447488810416892,0.16,0.56
"b_12,8",-0.0372670112911271,0.00210696587724109,-0.0345887048840842,-0.0434055812071523,0.24,0.4
"b_12,12",0.81138412722821,0.994589011670893,0.140193887051375,-0.176063720133724,0.88,1
