"","meanB","meanJ","corr_BvsJ","medianBias","fractionJ_outofB_CIs","fractionCorrectSign"
"b_1,1",-0.968372101391236,-0.969548885225364,0.967486351614324,0.000420011532525466,0.01,1
"b_1,2",-0.000617061320843061,0,NA,-0.00151023924379873,0.27,0
"b_1,3",-0.0327426839588253,-0.0304511147746355,0.871044083664492,-0.0025067916585839,0.16,0.88
"b_2,1",-0.000296313400337046,0,NA,-9.52092136003571e-05,0.23,0
"b_2,2",0.0115168248662622,0.0266007960947789,0.565137223664337,-0.013921734402883,0.25,0.62
"b_2,8",-0.0284289882687308,-0.0266007960947789,0.850490117989513,-0.0021322834707277,0.16,0.87
"b_3,1",0.0772177896589612,0.0762855306692046,0.976960628064555,0.0004690664599171,0.0600000000000001,1
"b_3,3",0.911059215060281,0.93130963763099,0.947613889871221,-0.0181496386057375,0.27,1
"b_3,5",-0.0193502939813905,-0.0165137421654195,0.653040997509188,-0.00111266397456736,0.25,0.86
"b_3,6",-0.02316634743542,-0.0218510206561297,0.773568113971047,-0.00119558918717442,0.17,0.87
"b_4,4",0.0630788865654781,0.0709364167514208,0.656269531247661,-0.00777245019786385,0.12,0.92
"b_4,5",-0.0209708733824547,-0.0207478562042596,0.838405679712369,-0.00034651201931751,0.2,0.75
"b_4,6",-0.0283185763018749,-0.0285364451814509,0.817463288227836,6.73441176488642e-05,0.19,0.85
"b_4,7",-0.0219951915587136,-0.0216521153657103,0.770573827463499,-9.10485182820352e-05,0.16,0.91
"b_5,3",0.00247876184041309,0.00205550119634129,-0.00615868596794403,0.000259668703435219,0.32,0.58
"b_5,4",0.0345010834079998,0.030058035879926,0.552310412165461,0.00341028267339523,0.26,0.83
"b_5,5",0.930172613371473,0.947460058304213,0.838810666889783,-0.0163268993157595,0.3,1
"b_5,9",-0.0102895118783832,-0.00985624567489285,0.626638511621032,-0.000194272920164481,0.26,0.83
"b_5,10",-0.000864122848209246,-0.00026570356014248,0.0962915071004377,0.00029683765864154,0.36,0.49
"b_5,11",-0.00162083683073047,-0.000308016826410109,0.212768432548242,-0.000957067461445983,0.32,0.61
"b_6,3",0.00368399916386253,0.00206269373301166,-0.105754112937815,0.00130554472537477,0.38,0.57
"b_6,4",0.0318427723053048,0.0346742761375275,0.536533241724073,-0.0015846286323802,0.22,0.82
"b_6,6",0.912526778198822,0.934050634620734,0.741229886845277,-0.020371894170234,0.3,1
"b_6,12",-0.000272171808916869,-0.000646137870802348,0.0565827247298316,0.000526501242859627,0.39,0.52
"b_7,4",0.0232593339396216,0.0286867150372148,0.368192079579974,-0.0012380519913274,0.21,0.71
"b_7,7",0.922218357352854,0.941939063520405,0.834884372824004,-0.0178827035844925,0.28,1
"b_7,12",-0.000676565191331836,-0.000660178391057095,0.21107298329083,0.00028415877954133,0.3,0.51
"b_8,2",0.0304459833131706,0.0337092547801234,0.450399133244273,-0.00426264010053628,0.22,0.82
"b_8,8",0.913612477781458,0.934429476485502,0.781782994870417,-0.0196217189158525,0.33,1
"b_8,12",-0.00139989167627245,-0.000693674447572256,-0.0764621242031058,-0.000891885590607624,0.31,0.59
"b_9,5",0.000963428237256961,0.0015333743447818,0.0109083811390875,0.000766676044502636,0.27,0.55
"b_9,9",0.951290799487279,0.970354379645721,0.611729385358189,-0.0158191167066215,0.41,1
"b_9,10",-0.00024297108685977,-0.000253153989674476,0.00308775753607394,0.000251404056187894,0.36,0.49
"n_10,5",0.00304423696463209,0.00178276087067259,0.0746562228281537,9.62140154442469e-06,0.31,0.55
"b_10,9",0.00264579653085386,0.00111229630317509,0.0166839131812472,0.000884742399508262,0.38,0.57
"b_10,10",0.984901296323602,0.998104942826152,0.040389921020274,-0.0107092419943859,0.6,1
"b_11,5",0.00288095418434258,0.00204975717725463,0.120191582502572,-0.000255365004772905,0.33,0.54
"b_11,11",0.984987910348629,0.998050242822745,-0.0466168443611581,-0.010334328042075,0.5,1
"b_12,6",0.00236593435142037,0.00207135088612387,-0.0235943786911124,-0.00126283924593476,0.35,0.51
"b_12,7",0.00134841689996103,0.00202083435205716,0.130311300197858,-0.00110511895046823,0.28,0.54
"b_12,8",0.00333945286898945,0.00231150087136736,0.316798837382357,0.00320618434361788,0.23,0.63
"b_12,12",0.979032795741936,0.994596313890452,0.261220553591509,-0.0137989325023295,0.56,1
