"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",-0.266042337846011,0,-0.192108109453693,0,0,0,0,0,0,0,0,0
"2",0,-0.295674911141396,0,0,0,0,0,-0.0126270310487598,0,0,0,0
"3",0.0192108109453693,0,-0.347427079360932,0,-0.192070729797706,-0.0298690699972212,0,0,0,0,0,0
"4",0,0,0,-0.391553475894034,-0.000387088442221281,-0.0411189509090036,-0.199883428448811,0,0,0,0,0
"5",0,0,0.0192070729797706,3.87088442221281e-05,-0.245563974650577,0,0,0,-0.0438529461156577,-0.0197618010919541,-0.112654540408403,0
"6",0,0,0.00298690699972212,0.00411189509090036,0,-0.204755096463487,0,0,0,0,0,-0.0332198117394
"7",0,0,0,0.0199883428448811,0,0,-0.205193569185212,0,0,0,0,-0.0926166352815926
"8",0,0.00126270310487598,0,0,0,0,0,-0.359609384322539,0,0,0,-0.160050874203444
"9",0,0,0,0,0.00438529461156577,0,0,0,-0.234101057192311,-0.0671876701526344,0,0
"10",0,0,0,0,0.00197618010919541,0,0,0,0.00671876701526344,-0.91354024107568,0,0
"11",0,0,0,0,0.0112654540408403,0,0,0,0,0,-0.979803387820721,0
"12",0,0,0,0,0,0.00332198117394,0.00926166352815926,0.0160050874203444,0,0,0,-0.872965111350641
