"","Site","Species1","Species2","Species3","Species4","Species5","Species6","Species7","Species8","Species9","Species10","Species11","Species12","Abiotic_var1","Abiotic_var3"
"1",1,9.69584531877084,4.36748285953367,0.092505140663568,3.80031425690451,0.400464596043859,0.288549466452527,0.184019087337618,0.367819849118167,0.0773091287455106,0.00245813823146593,0.000594502609179166,0.00707889189557882,0,0
"2",2,5.24958690632748,3.14720666200993,0.047838669065628,3.74295519794458,0.3811679223828,0.122783253658721,0.0661718218654681,0.118581947935197,0.0518155694494686,0.00859929569092494,0.00144601953163863,0.0018400413676947,0,0
"3",3,7.43132769188191,3.08571744286202,0.502906112303893,2.48092992061578,0.103213692924396,0.186715684129687,0.125369253992047,0.277889902715296,0.114005558095031,0.000879728746212353,0.00011124006559667,0.0060655985229988,0,0
"4",4,4.94346879802731,3.08035600470143,0.269294693876048,2.87186527128682,0.170129269050376,0.124276782156114,0.098816070562365,0.227092654197339,0.125671679981384,0.00441131536780714,0.00163939445694049,0.00533845049294443,0,0
"5",5,7.65275215933371,3.19060826217654,0.377725946725791,4.3815423079583,0.204359908306958,0.273981815213846,0.255529893931205,0.317205897202757,0.149595806589803,0.00247164475528946,0.003190282043482,0.0108634348237014,0,0
"6",6,8.72502206673068,3.07699027968284,0.0888903241173154,3.07881459652782,0.0913396951286677,0.262743562533064,0.104069345161838,0.119181223592007,0.0958760973096523,0.00214204540685418,0.00185983729574457,0.00388781859354673,0,0
"7",7,7.34318085682724,4.24816487294568,0.771778781729779,2.88229412648537,0.187841003882894,0.214594252309021,0.133476545882909,0.260571121388366,0.0756522109167897,0.00430276139550461,0.00177840528146977,0.00746602258917534,0,0
"8",8,5.70083255285484,4.84017424748557,0.0694196500578475,3.48554671056299,0.311991094119417,0.217291926655468,0.117177189675296,0.274209169698224,0.0746456432349568,0.00140613627579588,0.0034754079502711,0.00537849224612421,0,0
"9",9,6.10218821299779,4.244688837708,0.140438879792863,2.48409430941935,0.207477910358122,0.135328338775007,0.237163163399449,0.496254780580236,0.0821212298913184,0.000266726340947223,0.0041789985900659,0.00596515771698502,0,0
"10",10,6.28338292143142,2.68927473831631,0.112625906758259,2.34344020732611,0.145962010653468,0.201689842490104,0.219196524181901,0.365446105258889,0.054456074406498,0.000957541895676492,0.00246789135666801,0.00727128960910251,0,0
"11",11,9.2624253831095,4.64579521439459,0.160965526821811,4.40413855007502,0.156328676392374,0.118344989612031,0.369992081921487,0.24579642464717,0.0439399915460281,0.00181715041457789,0.00306692504926801,0.00938947182524496,0,0
"12",12,5.25560633928513,3.53929058114821,0.0734646586643384,4.7195376041538,0.253345222502752,0.186252296113756,0.243154006510254,0.247305557894555,0.163123931199987,0.00212128205590769,0.00128066221126616,0.00419819361702246,0,0
"13",13,4.90587148714272,3.01684075751709,0.320467459222192,2.88959271519305,0.118129805047251,0.24256359969907,0.210478287860289,0.202065433076701,0.0886638952708396,0.000976223329125844,0.00184038349607977,0.0077356843950143,0,0
"14",14,9.33644551627208,4.33122502207307,0.310081738411016,3.92725679893978,0.12395387269165,0.305060076840299,0.14580733634642,0.0857121792487459,0.031202969036904,0.0016521995522998,0.00038781587757118,0.00556329470946336,0,0
"15",15,9.38629982476769,3.60371412276355,0.0926425215770578,2.43763125286406,0.165366383737531,0.208924595789849,0.144865811766328,0.333349558906628,0.152403018083751,0.00179893940474785,0.00333275517656097,0.0118830421139533,0,0
"16",16,5.17820249386683,2.56266886371274,0.119007330433243,3.03904552458426,0.307533740926406,0.392521734670077,0.168730241167638,0.116360766042982,0.0966955880347263,0.00215006561931715,0.00399631056009494,0.00769355766084627,0,0
"17",17,8.64272236447509,3.26973329234063,0.246504057838075,3.64217761932056,0.120877337142627,0.452221539444242,0.233921316200901,0.0544177737059744,0.126182417662538,0.000597945972544084,0.000949694037284143,0.00362860223659034,0,0
"18",18,6.52104477809395,4.38950090503434,0.131474310644507,2.39631836261046,0.0733018529225915,0.174906244817174,0.225101902954861,0.194475247329199,0.129040428677865,0.000752336787464975,0.000714402958140835,0.00541594936534742,0,0
"19",19,7.75686821452055,4.60859229646668,0.258158122203969,2.99239323003366,0.264791670698217,0.334271356288404,0.115421715883794,0.371739224871901,0.0567267434232519,0.000511223609794985,0.00617679410222862,0.0123096234050293,0,0
"20",20,6.32340030985017,3.30971558833513,0.240650692850452,3.22226243307556,0.17673961970198,0.404321294259999,0.256832781872516,0.328416771674004,0.168128427134492,0.000769185427843155,8.70271544025508e-06,0.0087684158567383,0,0
"21",21,6.13775329868916,3.55080754200863,0.0290142178719292,3.28250910521264,0.192514144959017,0.101013487641962,0.141194321778586,0.108856252037393,0.0793996555723278,0.00121710615492067,0.000420885587559607,0.00349421608545176,0,0
"22",22,6.39789278416106,4.39910207897921,0.304297755432357,2.85138469343118,0.192641152463597,0.203946517579667,0.290713215251279,0.104607876521905,0.111059544511387,0.000781890411823957,0.0027647034089645,0.00576244249501714,0,0
"23",23,8.11714274842674,3.91037805511136,0.236133342938666,4.02305454402168,0.247785474429831,0.397640260394801,0.233162445797449,0.145326887499603,0.214937303087123,0.00598853409444425,0.000573212606530843,0.00640409166420689,0,0
"24",24,5.91002620361964,3.26097591500726,0.0957946407241423,3.48703904746812,0.295133412200467,0.203288864506649,0.156414333974172,0.114599647273297,0.0791666563508901,0.00117539538996516,0.0025847006486102,0.00662264852175139,0,0
"25",25,9.0189896666699,2.49600629860072,0.661577449848872,2.56687334080286,0.148647595938859,0.215405227948115,0.352058834055115,0.143854477590918,0.171464430592842,0.00362061408468774,0.00316354404726477,0.0138636045926575,0,0
"26",26,9.04089198386592,2.86672439457715,0.51237274133892,2.91179231654112,0.231576484976155,0.3217155238443,0.325183793637263,0.181625596893714,0.0527820646547316,0.00403902443655004,0.00306674803088693,0.0105361959477716,0,0
"27",27,5.59121684731119,3.41287117096761,0.265008605712644,3.14363119290441,0.266818329379237,0.268130483222202,0.261604362312961,0.0999082534996608,0.160445062452565,0.00101708725608486,0.00207771763210656,0.0059160865662298,0,0
"28",28,5.74047722651252,2.7070998770721,0.101752722497636,3.96454810244396,0.228122156907939,0.368339003142238,0.265340283224206,0.286050650783643,0.0941526682821235,0.00121075027904492,0.000195760436404059,0.00836872029786459,0,0
"29",29,7.381371580999,4.65583033222877,0.568872527091769,3.9163656119131,0.104071134274981,0.22761758235572,0.251677976362127,0.278697356340287,0.0962182269295474,0.00109064217240795,0.00149603166137947,0.0098793416606416,0,0
