"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",-0.220173137355596,0,-0.183270725701004,0,0,0,0,0,0,0,0,0
"2",0,-0.248427106207237,0,0,0,0,0,-0.0286062209866941,0,0,0,0
"3",0.0183270725701004,0,-0.291019956907257,0,-0.0434864248149097,-0.118249777425081,0,0,0,0,0,0
"4",0,0,0,-0.303117999061942,-0.177679056487978,-0.0664630043320358,-0.0496129334438592,0,0,0,0,0
"5",0,0,0.00434864248149097,0.0177679056487978,-0.236865115584806,0,0,0,-0.115220238640904,-0.0165040345862508,-0.136400261055678,0
"6",0,0,0.0118249777425081,0.00664630043320358,0,-0.316022887825966,0,0,0,0,0,-0.102435035211965
"7",0,0,0,0.00496129334438592,0,0,-0.379194842698052,0,0,0,0,-0.0577598524745554
"8",0,0.00286062209866941,0,0,0,0,0,-0.324773424491286,0,0,0,-0.0984966559335589
"9",0,0,0,0,0.0115220238640904,0,0,0,-0.353985501592979,-0.109413216868415,0,0
"10",0,0,0,0,0.00165040345862508,0,0,0,0.0109413216868415,-0.829689995991066,0,0
"11",0,0,0,0,0.0136400261055678,0,0,0,0,0,-0.887532000709325,0
"12",0,0,0,0,0,0.0102435035211965,0.00577598524745554,0.00984966559335589,0,0,0,-0.933017398649827
