"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.328017577109858,0,0.10919126085937,0,0,0,0,0,0,0,0,0
"2",0,0.305072940746322,0,0,0,0,0,0.191997276153415,0,0,0,0
"3",0.158932363521308,0,0.356275251414627,0,0.0381048970855773,0.124065751675516,0,0,0,0,0,0
"4",0,0,0,0.203524596616626,0.0300856408197433,0.016257108701393,0.120373469637707,0,0,0,0,0
"5",0,0,0.102159210992977,0.0820418959017843,0.337383598322049,0,0,0,0.0681412174366415,0.144749121647328,0.1051538689062,0
"6",0,0,0.0764798713382334,0.0551530649419874,0,0.214602264435962,0,0,0,0,0,0.107404426950961
"7",0,0,0,0.123262440273538,0,0,0.25767764300108,0,0,0,0,0.160151365259662
"8",0,0.0500107081141323,0,0,0,0,0,0.381281920569018,0,0,0,0.100999575247988
"9",0,0,0,0,0.120419942308217,0,0,0,0.293682751618326,0.0667565022129566,0,0
"10",0,0,0,0,0.14720203615725,0,0,0,0.183656173944473,0.929453413467854,0,0
"11",0,0,0,0,0.105699003487825,0,0,0,0,0,0.919284674152732,0
"12",0,0,0,0,0,0.0867723758798093,0.171737909177318,0.116865664161742,0,0,0,0.972301186341792
