"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.0274360505830946,0,0,0,0,0,0,0,0,0,0,0
"2",0,0.0230834519388482,0,0,0,0,0,0,0,0,0,0
"3",0,0,0.0190690712671261,0,0,0,0,0,0,0,0,0
"4",0,0,0,0.01724400995426,0,0,0,0,0,0,0,0
"5",0,0,0,0,0.017058936925111,0,0,0,0,0,0,0
"6",0,0,0,0,0,0.0178159399475671,0,0,0,0,0,0
"7",0,0,0,0,0,0,0.0179913451396778,0,0,0,0,0
"8",0,0,0,0,0,0,0,0.0189388960618998,0,0,0,0
"9",0,0,0,0,0,0,0,0,0.0174062825037019,0,0,0
"10",0,0,0,0,0,0,0,0,0,0.0211718543335586,0,0
"11",0,0,0,0,0,0,0,0,0,0,0.0202216187642585,0
"12",0,0,0,0,0,0,0,0,0,0,0,0.0172780324290059
