"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.0882072371189828,0,0.0289959678870251,0,0,0,0,0,0,0,0,0
"2",0,0.181170744342742,0,0,0,0,0,0.0497353413034281,0,0,0,0
"3",0.0399645490742442,0,0.0139666702880941,0,0.0637309747186689,0.0510221135423047,0,0,0,0,0,0
"4",0,0,0,0.091838403469109,0.0604580562417271,0.0487245296604608,0.0836464559654378,0,0,0,0,0
"5",0,0,0.0203960182766173,0.0848044487827313,0.0591770550669031,0,0,0,0.0490455997257891,0.0416936883512897,0.0529750223346428,0
"6",0,0,0.0181964023611293,NA,0,0.0519565632940923,0,0,0,0,0,0.0433469441501172
"7",0,0,0,0.0856369255499991,0,0,0.0828119296586837,0,0,0,0,0.0437289457656673
"8",0,0.214528575901718,0,0,0,0,0,0.0428178473907719,0,0,0,0.0290822784002849
"9",0,0,0,0,0.0641891216360008,0,0,0,0.0541451268532727,0.0256408535476701,0,0
"10",0,0,0,0,0.065742440835978,0,0,0,0.0548188514936908,0.0258286694415571,0,0
"11",0,0,0,0,0.0627158810704684,0,0,0,0,0,0.048667280670085,0
"12",0,0,0,0,0,0.0604299930802765,0.0796697114486036,0.0485291057178534,0,0,0,0.0308593427406501
