"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",-0.778979871481432,0,-0.192825128758434,0,0,0,0,0,0,0,0,0
"2",0,-0.309826820112588,0,0,0,0,0,-0.124378288068343,0,0,0,0
"3",-0.149370232972425,0,0.74558314802638,0,-0.0712660733792589,-0.121465531858548,0,0,0,0,0,0
"4",0,0,0,-0.296297740627526,-0.0252083336290358,-0.0838243908091106,-0.0768414028504644,0,0,0,0,0
"5",0,0,-0.120015358035537,-0.0840140422345225,0.837473885589004,0,0,0,-0.07673726514976,-0.0133504440102138,-0.177631105201688,0
"6",0,0,-0.22864442842039,-0.140645702336093,0,0.723015519761887,0,0,0,0,0,-0.0387895759420357
"7",0,0,0,-0.149168564442506,0,0,0.95750927875473,0,0,0,0,-0.118212941861274
"8",0,-0.27128846673401,0,0,0,0,0,0.817876234394645,0,0,0,NA
"9",0,0,0,0,-0.035743875210819,0,0,0,0.746332126746844,-0.0601591749445196,0,0
"10",0,0,0,0,-0.137244114896605,0,0,0,-0.0866368763455916,0.978214871592236,0,0
"11",0,0,0,0,-0.0804263558546919,0,0,0,0,0,0.891239459247869,0
"12",0,0,0,0,0,-0.0571817788600148,-0.155356986594372,-0.14843234787597,0,0,0,0.80253476676281
