"","meanB","meanJ","corr_BvsJ","medianBias","fractionJ_outofB_CIs","fractionCorrectSign"
"b_1,1",-0.532348846768802,-0.969548885225364,0.0832751980889251,0.420771151580197,1,1
"b_1,2",0,0,NA,0,1,1
"b_1,3",-0.0179336422729727,-0.0304511147746355,0.210714471159945,0.0157809860546733,0.0600000000000001,0.58
"b_2,1",0,0,NA,0,1,1
"b_2,2",0.00888856022533334,0.0266007960947789,0.215415868223914,-0.0173968705243572,0.12,0.51
"b_2,8",-0.0187093476438363,-0.0266007960947789,0.103212240537978,0.00540483685600354,0.16,0.62
"b_3,1",0.0545185342735322,0.0762855306692046,0.338408529031225,-0.0174749451452501,0.13,0.81
"b_3,3",0.872541046446891,0.93130963763099,0.359643997059684,-0.0463308520727986,0.22,1
"b_3,5",-0.0146928362380385,-0.0165137421654195,0.278263887515219,0.00243326508510003,0.14,0.6
"b_3,6",-0.0168144952507325,-0.0218510206561297,0.0911089786428071,-0.000832583957363411,0.19,0.66
"b_4,4",0.0537868961083523,0.0709364167514208,0.308833662727894,-0.0241163726142443,0.18,0.61
"b_4,5",-0.0301344356697814,-0.0207478562042596,0.0913844187776065,-0.0110582394540265,0.11,0.69
"b_4,6",-0.0312671191894437,-0.0285364451814509,0.0746980567945821,-0.00325276635888007,0.13,0.69
"b_4,7",-0.031045323939149,-0.0216521153657103,0.329717364120204,-0.00386275990230449,0.12,0.68
"b_5,3",0.0105138075549635,0.00205550119634129,-0.127985589697775,0.00943370341931402,0.16,0.57
"b_5,4",0.0201613075685889,0.030058035879926,0.397132448636182,-0.00491192722219325,0.09,0.58
"b_5,5",0.847267563218007,0.947460058304213,0.188303265985821,-0.0723745508196331,0.4,1
"b_5,9",-0.00513553149983398,-0.00985624567489285,-0.086890998584077,-0.00934165545801887,0.15,0.55
"b_5,10",-0.00748454615364795,-0.00026570356014248,-0.00420356962661341,-0.00895930572522842,0.15,0.54
"b_5,11",-0.00787913153237287,-0.000308016826410109,-0.143842544623343,-0.0144718839669087,0.2,0.56
"b_6,3",-0.00138800338297884,0.00206269373301166,0.0752255871177414,-0.00405119806541821,0.14,0.49
"b_6,4",0.0414682662305801,0.0346742761375275,0.0848964653763664,0.00212073653275034,0.15,0.67
"b_6,6",0.86674867825076,0.934050634620734,0.10241551706692,-0.0489108879344457,0.29,1
"b_6,12",0.00404890201439428,-0.000646137870802348,0.0412878070506148,0.00746486217472248,0.16,0.47
"b_7,4",0.0395098699119458,0.0286867150372148,0.126798463484876,-0.00124261679080486,0.13,0.63
"b_7,7",0.883973803193705,0.941939063520405,0.193641331754824,-0.0445148052365534,0.25,1
"b_7,12",-0.00667337769302466,-0.000660178391057095,0.14785565848943,-0.00513343049751726,0.17,0.57
"b_8,2",0.0343659940680728,0.0337092547801234,0.123966510220273,-0.00357244207758423,0.12,0.63
"b_8,8",0.874230686026441,0.934429476485502,0.392601686303236,-0.0535801496008438,0.26,1
"b_8,12",-0.00192128975976307,-0.000693674447572256,0.189164209525191,-0.0026315752247878,0.21,0.56
"b_9,5",0.00640066858310685,0.0015333743447818,-0.000611781826542803,0.0080247294174883,0.2,0.57
"b_9,9",0.886568063391619,0.970354379645721,-0.0108748403143551,-0.0697056676046137,0.44,1
"b_9,10",-0.00701017912140013,-0.000253153989674476,-0.0125179909752855,-0.0102425685691099,0.19,0.56
"n_10,5",0.00270333099103557,0.00178276087067259,-0.101177117906884,0.0042362883472225,0.23,0.53
"b_10,9",-0.00585935841361175,0.00111229630317509,-0.0270726084948042,-0.00613672657278978,0.19,0.41
"b_10,10",0.913661159839111,0.998104942826152,-0.0995294048194678,-0.0767025467519974,0.54,1
"b_11,5",-0.00208973523256234,0.00204975717725463,0.150663174876818,0.00233264243888033,0.15,0.52
"b_11,11",0.930025261895092,0.998050242822745,-0.0850856724716045,-0.0557820904860985,0.41,1
"b_12,6",-0.0038193740994217,0.00207135088612387,0.0131564427736459,-0.00624758308616118,0.12,0.47
"b_12,7",-0.0114543603706946,0.00202083435205716,0.0239380901533842,-0.0118576515081345,0.19,0.44
"b_12,8",-0.0045852761739674,0.00231150087136736,-0.0893969749108196,-0.0137470288888715,0.16,0.42
"b_12,12",0.910482060240402,0.994596313890452,-0.0360903835679461,-0.0783571018094861,0.42,1
