"","meanB","meanJ","corr_BvsJ","medianBias","fractionJ_outofB_CIs","fractionCorrectSign"
"b_1,1",-0.515636765926905,-0.964291979356313,-0.18464621730014,0.441818525467555,1,1
"b_1,2",0,0,NA,0,1,1
"b_1,3",-0.0199654486731952,-0.0357080206436866,0.718870554247294,0.0121479951023765,0.3,0.74
"b_2,1",0,0,NA,0,1,1
"b_2,2",0.0323946537578029,0.024590508314682,0.481780198507362,0.00243985030625796,0.25,0.72
"b_2,8",-0.0198011221728647,-0.024590508314682,0.788357557565891,0.00464930464162982,0.23,0.81
"b_3,1",0.0615321101545996,0.0798776994542231,0.89993859845524,-0.0183097892940185,0.14,0.94
"b_3,3",0.934249225494871,0.928305609274123,0.906824784877882,0.005955137232806,0.29,1
"b_3,5",-0.013765531530617,-0.0184145244303553,0.787208498731043,0.00254258811833717,0.19,0.84
"b_3,6",-0.0170746872264966,-0.0209472619200008,0.680008071387152,0.00274674786484934,0.22,0.83
"b_4,4",0.0792683491779392,0.0727576233043416,0.644246607073659,0.00820489070795809,0.13,0.96
"b_4,5",-0.0163475465289271,-0.0221306309308086,0.779981280036173,0.00474627083903844,0.19,0.86
"b_4,6",-0.0216151187337249,-0.0257774283178915,0.78473205194246,0.00405163688827176,0.25,0.87
"b_4,7",-0.0218592079383196,-0.0248495640556415,0.827190259632128,0.00240033410873889,0.19,0.81
"b_5,3",0.00527097265848291,0.00217632154811881,0.405058643423591,0.00171675688519516,0.37,0.63
"b_5,4",0.0332097743165305,0.0327384455551396,0.614110072013689,0.00117357907394806,0.22,0.79
"b_5,5",0.945927441534882,0.945288927485053,0.700014332179482,0.00452356268787413,0.27,1
"b_5,9",-0.00825946984005666,-0.0093877226377657,0.363496718767445,0.00163705536463612,0.31,0.73
"b_5,10",-0.000372530717732566,-0.000314026831486294,0.0867423355223059,-0.000248191132253304,0.29,0.54
"b_5,11",0.000815644631481939,-0.000278521495766121,0.105589074023218,0.000110873332738414,0.29,0.53
"b_6,3",0.00238863494234063,0.00211871294929743,0.0721856684409442,-0.00024024007777285,0.29,0.57
"b_6,4",0.0305324375218073,0.0324193618991242,0.372740195264288,-0.00317101295172141,0.18,0.87
"b_6,6",0.939280334540839,0.935171235078423,0.719518395214855,0.00682726712357229,0.29,1
"b_6,12",-0.00170486651828898,-0.00081138152380655,0.0793777605881802,-0.000982509373671928,0.22,0.6
"b_7,4",0.034754796864549,0.0330708340843048,0.50818693151488,0.00307285167024011,0.16,0.83
"b_7,7",0.941677064629291,0.936956785068029,0.63685544345372,0.00697563186136813,0.28,1
"b_7,12",-0.00120542164669055,-0.000774261232376583,0.0473714171700253,0.000123246545512743,0.22,0.57
"b_8,2",0.0322033494852134,0.0320109833601673,0.422422291325557,0.00170087964513354,0.11,0.86
"b_8,8",0.94255831780369,0.937915713961641,0.703329745035166,0.00301434987814636,0.27,1
"b_8,12",-0.00112926986774005,-0.000724076875685117,0.1440176867988,-0.000430736393500692,0.22,0.57
"b_9,5",0.00151029344216605,0.00161050470831711,0.180873030238465,-0.00136709160636418,0.24,0.51
"b_9,9",0.968867406818162,0.969504425293498,0.41426587784216,-0.000972866495034752,0.37,1
"b_9,10",-0.000343736513539512,-0.00027221597850402,0.0717336577841636,-8.03648390534177e-05,0.28,0.52
"n_10,5",0.00231559928180333,0.00207905119299007,0.227626201358947,-0.000495886912044621,0.29,0.56
"b_10,9",0.00108185486104854,0.00104147266253713,0.0275502088734283,-0.00033957034627353,0.31,0.55
"b_10,10",0.990198359099484,0.997879476144473,-0.0311453186735118,-0.00573768875813735,0.26,1
"b_11,5",0.00294024008861259,0.00198092447390978,-0.118136491901519,7.34415463692425e-05,0.22,0.57
"b_11,11",0.990160878193802,0.99811907552609,0.0174524269521508,-0.00579883926870361,0.25,1
"b_12,6",0.00275345598567287,0.0024507209011887,0.149057473762551,0.00277592248822226,0.17,0.59
"b_12,7",0.00337221103400103,0.00233519340908326,0.226262184653575,0.00144990237379536,0.23,0.62
"b_12,8",0.00239584848193838,0.0021504866040984,0.291301601878065,-0.00180369236587435,0.22,0.5
"b_12,12",0.987128650010387,0.99406359908563,0.170595317193258,-0.00434201043175331,0.3,1
