"","corr_BvsJ","medianBias","fractionJ_outofB_CIs","fractionCorrectSign"
"b_1,1",-0.182452778917873,0.440019841857386,1,1
"b_1,2",NA,-0.0291100185261332,0.39,0
"b_1,3",0.652100127366523,0.0123581437193138,0.41,0.7
"b_2,1",NA,-0.00144804658083552,0.24,0
"b_2,2",0.493155812456034,-0.00567379386354842,0.38,0.67
"b_2,8",0.771679722728102,0.00486649099376806,0.3,0.77
"b_3,1",0.902679968718666,-0.0192197484131441,0.23,0.94
"b_3,3",0.885211843424181,-0.00567279382485947,0.45,1
"b_3,5",0.760677170757311,0.00346832994718034,0.36,0.81
"b_3,6",0.667308846349061,0.00136680105805837,0.31,0.8
"b_4,4",0.651780613957375,-0.00239060460916848,0.18,0.93
"b_4,5",0.752328449392637,0.00343100041126988,0.26,0.81
"b_4,6",0.72947012629636,0.00172552762156036,0.29,0.83
"b_4,7",0.809063387664837,0.00146029985774884,0.23,0.83
"b_5,3",0.337086530271711,0.00247802967555161,0.36,0.59
"b_5,4",0.60902564468019,0.000694638730880125,0.26,0.79
"b_5,5",0.660603112086131,-0.00271989803873068,0.34,1
"b_5,9",0.356621242043762,0.000143085806484789,0.39,0.71
"b_5,10",0.030837750101571,0.000203021617287662,0.38,0.5
"b_5,11",0.0953117865969195,-0.000261924877626304,0.34,0.54
"b_6,3",0.0643144484871392,0.000795882244034645,0.45,0.62
"b_6,4",0.359379438378912,0.0013143302888148,0.29,0.88
"b_6,6",0.707484721077771,-0.00575917997867903,0.3,1
"b_6,12",0.134718636270408,-0.00138757913053359,0.42,0.6
"b_7,4",0.510526092450942,0.0015004919343768,0.21,0.83
"b_7,7",0.611012371506211,-0.00702141282808033,0.32,1
"b_7,12",0.11477796953622,-0.000972028721739292,0.35,0.58
"b_8,2",0.417286103382464,-0.000596666817113546,0.24,0.85
"b_8,8",0.650750662952166,-0.0102972480411023,0.24,1
"b_8,12",0.142069693129705,-0.00122515170931382,0.43,0.57
"b_9,5",0.196208946240124,6.99687359823088e-05,0.36,0.54
"b_9,9",0.32720993913593,-0.00909088754622372,0.48,1
"b_9,10",0.122888880844755,0.0010346380927604,0.46,0.48
"n_10,5",0.241544036090673,0.000225524190393688,0.41,0.56
"b_10,9",-0.00706842202494902,4.87500591704647e-06,0.32,0.53
"b_10,10",0.019875765239096,-0.0122673669585902,0.62,1
"b_11,5",-0.0764408110007405,0.000317922535975653,0.36,0.58
"b_11,11",0.00355201622713828,-0.0137027397439616,0.64,1
"b_12,6",0.0481074733432584,0.000713255002101628,0.37,0.57
"b_12,7",0.167671012138776,0.00195293153378516,0.31,0.63
"b_12,8",0.312666236522776,-0.00180185475467367,0.45,0.5
"b_12,12",0.112281455138001,-0.0135084158252553,0.55,1
